City,Latitude,Longitude,Average High Temperature (degrees Fahrenheit),Average Humidity (%),Average Air Pressure (hectopascals),Average Wind Speed (miles/hour)
San Francisco,37.7790262,-122.419906,56.74400000000001,70.4,1022.4,8.198
San Jose,37.3361663,-121.890591,63.734,50.4,1021.8,6.0600000000000005
Santa Ana,33.7494951,-117.8732213,72.482,27.8,1019.8,6.473999999999999
Scottsdale,33.4942189,-111.9260184,71.846,16.4,1020.0,4.922
Seattle,47.6038321,-122.330062,50.124,88.2,1017.8,9.61
Spokane,47.6571934,-117.42351,38.458000000000006,92.6,1023.8,6.82
St. Louis,38.6319657,-90.2428756,49.838,56.8,1023.8,13.402000000000001
St. Petersburg,59.938732,30.316229,30.084000000000003,93.0,992.2,14.2
Stockton,37.9577016,-121.2907796,58.827999999999996,60.8,1022.6,5.906000000000001
Tampa,27.9477595,-82.458444,74.092,65.2,1019.8,12.530000000000001
Toledo,39.8560679,-4.0239568,55.303999999999995,53.6,1031.4,12.084
Tucson,32.2228765,-110.9748477,75.28399999999999,13.8,1019.2,9.052
Tulsa,36.1563122,-95.9927436,56.586,44.2,1026.0,13.39
Virginia Beach,36.8529841,-75.9774183,58.352,79.0,1021.8,16.29
Washington,38.8950368,-77.0365427,51.763999999999996,71.6,1021.6,11.16
Wichita,37.6922361,-97.3375448,50.58,41.2,1026.0,14.556000000000001
Winston-Salem,36.0998131,-80.2440518,57.577999999999996,74.4,1021.4,10.553999999999998
